Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price
dummy-product-1,Dummy Product 1,<p>This is a description for Dummy Product 1.</p>,Vendor 1,Type 1,"tag1,sample",TRUE,Size,Small,SKU0001,93,93.43,111.69
dummy-product-2,Dummy Product 2,<p>This is a description for Dummy Product 2.</p>,Vendor 1,Type 1,"tag2,sample",TRUE,Size,Large,SKU0002,15,2.54,110.02
dummy-product-3,Dummy Product 3,<p>This is a description for Dummy Product 3.</p>,Vendor 1,Type 1,"tag3,sample",TRUE,Size,Small,SKU0003,53,58.79,113.62
dummy-product-4,Dummy Product 4,<p>This is a description for Dummy Product 4.</p>,Vendor 1,Type 1,"tag4,sample",TRUE,Size,Large,SKU0004,36,61.00,118.98
dummy-product-5,Dummy Product 5,<p>This is a description for Dummy Product 5.</p>,Vendor 1,Type 1,"tag5,sample",TRUE,Size,Small,SKU0005,86,82.26,102.09
dummy-product-6,Dummy Product 6,<p>This is a description for Dummy Product 6.</p>,Vendor 1,Type 1,"tag6,sample",TRUE,Size,Large,SKU0006,66,50.72,113.71
dummy-product-7,Dummy Product 7,<p>This is a description for Dummy Product 7.</p>,Vendor 1,Type 1,"tag7,sample",TRUE,Size,Small,SKU0007,37,40.47,101.35
dummy-product-8,Dummy Product 8,<p>This is a description for Dummy Product 8.</p>,Vendor 1,Type 1,"tag8,sample",TRUE,Size,Large,SKU0008,78,9.18,104.17
dummy-product-9,Dummy Product 9,<p>This is a description for Dummy Product 9.</p>,Vendor 1,Type 1,"tag9,sample",TRUE,Size,Small,SKU0009,82,87.73,115.11
dummy-product-10,Dummy Product 10,<p>This is a description for Dummy Product 10.</p>,Vendor 1,Type 1,"tag10,sample",TRUE,Size,Large,SKU0010,31,89.11,118.18
dummy-product-11,Dummy Product 11,<p>This is a description for Dummy Product 11.</p>,Vendor 1,Type 1,"tag11,sample",TRUE,Size,Small,SKU0011,11,32.17,119.61
dummy-product-12,Dummy Product 12,<p>This is a description for Dummy Product 12.</p>,Vendor 1,Type 1,"tag12,sample",TRUE,Size,Large,SKU0012,61,55.53,100.33
